domain,credibility_rating,political_leaning
wikipedia.org,0.834070736611835,left
sohu.com,0.415151994521008,left
xinhuanet.com,0.307587458832848,left
nytimes.com,0.8587762907206079,left
nih.gov,0.8867714694658829,left
cnn.com,0.658031073873161,left
forbes.com,0.829500343762818,left
theguardian.com,0.7495922237099699,left
bbc.co.uk,0.718306150148359,left
bbc.com,0.881685504350007,left
who.int,0.822010458547328,left
washingtonpost.com,0.818780596798307,left
cdc.gov,0.9644457301333008,left
reuters.com,1.0,left
wsj.com,0.8044661181178949,left
bloomberg.com,0.8401473137690991,left
sciencedirect.com,0.909650346870873,left
businessinsider.com,0.804965428527866,left
harvard.edu,0.7204239616216379,left
researchgate.net,0.8374722214530159,left
cnet.com,0.951854977853014,left
dailymail.co.uk,0.383860647514719,left
cnbc.com,0.8502646939815459,left
nature.com,0.964534054690512,left
usatoday.com,0.9010077084820308,left
telegraph.co.uk,0.611623869385344,left
nasa.gov,0.956315766887341,left
tribunnews.com,0.699413557211612,left
time.com,0.826340433814255,left
npr.org,0.930525246755544,left
espn.com,0.85282809463095,right
wired.com,0.8520381562763509,left
huffingtonpost.com,0.7152352062168449,left
indiatimes.com,0.388110480003998,left
techcrunch.com,0.885848003727468,left
foxnews.com,0.534260962262195,right
independent.co.uk,0.7340768644733149,left
kompas.com,0.8371243466206629,left
aol.com,0.7742203888423629,left
latimes.com,0.8542151028066259,left
healthline.com,0.805244264071088,left
webmd.com,0.8351062812254331,left
ft.com,0.930139262512042,left
theverge.com,0.8823200569225229,left
theatlantic.com,0.8035266674501179,left
cornell.edu,0.849083339099032,left
nationalgeographic.com,0.887787044279448,left
fda.gov,0.5901622795843139,left
cbsnews.com,0.8796187215048459,left
prnewswire.com,0.7511993125156321,left
statista.com,0.8630751881753841,left
weather.com,0.7879799944911792,left
nbcnews.com,0.8439374012261109,left
usnews.com,0.897076683243603,left
investopedia.com,0.92604876697167,right
digg.com,0.843214097560348,left
marketwatch.com,0.852971942626457,left
buzzfeed.com,0.699413557211612,left
huffpost.com,0.568450135334297,left
detik.com,0.8217619450347701,left
sciencemag.org,0.917500628260245,left
cambridge.org,0.754363455144705,left
change.org,0.619205572780572,left
sagepub.com,0.720757402027034,left
hbr.org,0.8772916053003509,left
economist.com,0.9264955441088392,left
noaa.gov,0.909650346870873,left
pbs.org,0.873758036638568,left
nypost.com,0.638970275002357,left
mashable.com,0.6562745959125551,left
whitehouse.gov,0.705621297642405,left
mayoclinic.org,0.836925143128081,left
britannica.com,0.8284022852020541,left
vice.com,0.7549947912930649,left
rt.com,0.2932774246715869,left
columbia.edu,0.7673753139891759,left
youm7.com,0.472615681745754,left
cbc.ca,0.8173961608973042,left
vox.com,0.653743407913008,left
abc.net.au,0.893061784379582,left
investing.com,0.536243782811171,right
yale.edu,0.745946183671792,left
engadget.com,0.8691986466132121,left
sciencedaily.com,0.8455693625843221,left
zdnet.com,0.8790153405414041,left
dw.com,0.864176124892771,left
newyorker.com,0.6634520528976441,left
apnews.com,0.998049167729267,left
fastcompany.com,0.804965428527866,left
inc.com,0.8790153405414041,left
psychologytoday.com,0.818682123522491,left
gizmodo.com,0.6956966564573089,left
theconversation.com,0.91790623699568,left
entrepreneur.com,0.7744418366825241,left
fortune.com,0.876036142010989,left
ieee.org,0.909650346870873,left
plos.org,0.8724078147039379,left
bmj.com,0.917500628260245,left
scientificamerican.com,0.861601738612092,left
medicalnewstoday.com,0.8374722214530159,left
ndtv.com,0.71566391534787,left
worldometers.info,0.8943906899314101,left
accuweather.com,0.6767721229381078,left
weforum.org,0.874413109867053,left
newsweek.com,0.8184638086424699,left
slate.com,0.612948190493504,left
sfgate.com,0.8865895286501099,left
elpais.com,0.7912300280333041,left
biomedcentral.com,0.944319163489942,left
pcmag.com,0.598909713642671,left
chicagotribune.com,0.868915852849806,left
apa.org,0.944319163489942,left
spiegel.de,0.816946216297037,left
cbslocal.com,0.7511901076125491,left
arstechnica.com,0.946362498302995,left
chron.com,0.8639942332542329,left
mirror.co.uk,0.69471357319896,left
qz.com,0.8566620310131601,left
bizjournals.com,0.7244035514565991,left
pewresearch.org,0.91790623699568,left
howstuffworks.com,0.90196608462966,left
thesun.co.uk,0.5681421804955339,left
house.gov,0.90283115919677,left
patch.com,0.9334910021342592,left
politico.com,0.862520735542115,left
fool.com,0.843301206986885,left
thelancet.com,0.900841895656363,left
jstor.org,0.8786244828709551,left
pnas.org,0.900841895656363,left
smh.com.au,0.766195271452241,left
chinadaily.com.cn,0.3715870547389929,left
livescience.com,0.475796155079278,left
nikkei.com,0.668271133133525,left
variety.com,0.830936725464152,left
nydailynews.com,0.807592058139583,left
nhk.or.jp,0.8670805759056659,left
aljazeera.com,0.779267503219657,left
jamanetwork.com,0.7000025089219521,left
news.com.au,0.801452900871723,left
ria.ru,0.3428415799627981,left
rollingstone.com,0.561288346769726,left
breitbart.com,0.297175368438483,right
venturebeat.com,0.6427345460516539,left
techradar.com,0.64280305900301,left
lifehacker.com,0.8087778825533021,left
seekingalpha.com,0.693696627028275,right
sky.com,0.7827181979260219,left
inquirer.net,0.806033481715774,left
nejm.org,0.944319163489942,left
thedailybeast.com,0.5381943988207001,left
thehill.com,0.8987624084124329,left
thetimes.co.uk,0.804965428527866,left
ucsd.edu,0.7311049531427181,left
scmp.com,0.7679872191353599,left
express.co.uk,0.369894689710756,right
people.com,0.55408411231176,left
digitaltrends.com,0.683117340614217,left
frontiersin.org,0.7120900331740581,left
eff.org,0.7996498537806059,left
unicef.org,0.5520654759806629,left
theglobeandmail.com,0.81633964127538,left
today.com,0.7342381481794241,left
hollywoodreporter.com,0.8173961608973042,left
hindustantimes.com,0.7249746329036171,left
newscientist.com,0.9355826302507692,left
history.com,0.564616923333448,left
boston.com,0.7990299968669191,left
lemonde.fr,0.6657858857917,left
indianexpress.com,0.760006875082811,left
nymag.com,0.689029040957724,left
technologyreview.com,0.909072073779842,left
cctv.com,0.6865276402056479,left
gallup.com,0.918225504110308,left
metro.co.uk,0.7740572312783399,left
t-online.de,0.6964410859141321,left
ladbible.com,0.364617475206097,left
phys.org,0.846691999959952,left
euronews.com,0.823068502792473,left
smithsonianmag.com,0.971184072481041,left
salon.com,0.5379336129472589,left
sputniknews.com,0.346103349035805,left
thenextweb.com,0.797512665485726,left
adweek.com,0.897097342531927,left
cbssports.com,0.718640148890342,right
eatthis.com,0.8663520102713901,left
asahi.com,0.775429000335308,left
repubblica.it,0.805259028322397,left
abs-cbn.com,0.6953907510926031,left
