domain,credibility_rating,tranco_ranking,political_leaning
wikipedia.org,0.834070736611835,12,left
sohu.com,0.415151994521008,16,left
xinhuanet.com,0.307587458832848,44,left
nytimes.com,0.8587762907206079,52,left
nih.gov,0.8867714694658829,56,left
cnn.com,0.658031073873161,67,left
forbes.com,0.829500343762818,71,left
theguardian.com,0.7495922237099699,75,left
bbc.co.uk,0.718306150148359,82,left
bbc.com,0.881685504350007,86,left
who.int,0.822010458547328,94,left
washingtonpost.com,0.818780596798307,105,left
cdc.gov,0.9644457301333008,110,left
reuters.com,1.0,113,left
wsj.com,0.8044661181178949,120,left
bloomberg.com,0.8401473137690991,121,left
sciencedirect.com,0.909650346870873,125,left
businessinsider.com,0.804965428527866,132,left
harvard.edu,0.7204239616216379,145,left
researchgate.net,0.8374722214530159,158,left
cnet.com,0.951854977853014,159,left
dailymail.co.uk,0.383860647514719,166,left
cnbc.com,0.8502646939815459,168,left
nature.com,0.964534054690512,172,left
usatoday.com,0.9010077084820308,173,left
telegraph.co.uk,0.611623869385344,188,left
nasa.gov,0.956315766887341,192,left
tribunnews.com,0.699413557211612,193,left
time.com,0.826340433814255,198,left
npr.org,0.930525246755544,201,left
espn.com,0.85282809463095,218,right
wired.com,0.8520381562763509,226,left
huffingtonpost.com,0.7152352062168449,227,left
indiatimes.com,0.388110480003998,230,left
techcrunch.com,0.885848003727468,237,left
foxnews.com,0.534260962262195,245,right
independent.co.uk,0.7340768644733149,250,left
kompas.com,0.8371243466206629,252,left
aol.com,0.7742203888423629,257,left
latimes.com,0.8542151028066259,265,left
healthline.com,0.805244264071088,268,left
webmd.com,0.8351062812254331,290,left
ft.com,0.930139262512042,299,left
theverge.com,0.8823200569225229,304,left
theatlantic.com,0.8035266674501179,307,left
cornell.edu,0.849083339099032,311,left
nationalgeographic.com,0.887787044279448,315,left
fda.gov,0.5901622795843139,317,left
cbsnews.com,0.8796187215048459,318,left
prnewswire.com,0.7511993125156321,319,left
statista.com,0.8630751881753841,324,left
weather.com,0.7879799944911792,326,left
nbcnews.com,0.8439374012261109,329,left
usnews.com,0.897076683243603,341,left
investopedia.com,0.92604876697167,342,right
digg.com,0.843214097560348,345,left
marketwatch.com,0.852971942626457,347,left
buzzfeed.com,0.699413557211612,349,left
huffpost.com,0.568450135334297,350,left
detik.com,0.8217619450347701,356,left
sciencemag.org,0.917500628260245,374,left
cambridge.org,0.754363455144705,376,left
change.org,0.619205572780572,383,left
sagepub.com,0.720757402027034,391,left
hbr.org,0.8772916053003509,396,left
economist.com,0.9264955441088392,397,left
noaa.gov,0.909650346870873,405,left
pbs.org,0.873758036638568,411,left
nypost.com,0.638970275002357,415,left
mashable.com,0.6562745959125551,421,left
whitehouse.gov,0.705621297642405,422,left
mayoclinic.org,0.836925143128081,427,left
britannica.com,0.8284022852020541,431,left
vice.com,0.7549947912930649,434,left
rt.com,0.2932774246715869,436,left
columbia.edu,0.7673753139891759,439,left
youm7.com,0.472615681745754,450,left
cbc.ca,0.8173961608973042,451,left
vox.com,0.653743407913008,454,left
abc.net.au,0.893061784379582,467,left
investing.com,0.536243782811171,469,right
yale.edu,0.745946183671792,479,left
engadget.com,0.8691986466132121,481,left
sciencedaily.com,0.8455693625843221,482,left
zdnet.com,0.8790153405414041,484,left
dw.com,0.864176124892771,497,left
newyorker.com,0.6634520528976441,498,left
apnews.com,0.998049167729267,501,left
fastcompany.com,0.804965428527866,508,left
inc.com,0.8790153405414041,513,left
psychologytoday.com,0.818682123522491,518,left
gizmodo.com,0.6956966564573089,519,left
theconversation.com,0.91790623699568,535,left
entrepreneur.com,0.7744418366825241,536,left
fortune.com,0.876036142010989,539,left
ieee.org,0.909650346870873,548,left
plos.org,0.8724078147039379,552,left
bmj.com,0.917500628260245,564,left
scientificamerican.com,0.861601738612092,565,left
medicalnewstoday.com,0.8374722214530159,566,left
ndtv.com,0.71566391534787,567,left
worldometers.info,0.8943906899314101,570,left
accuweather.com,0.6767721229381078,572,left
weforum.org,0.874413109867053,580,left
newsweek.com,0.8184638086424699,583,left
slate.com,0.612948190493504,592,left
sfgate.com,0.8865895286501099,594,left
elpais.com,0.7912300280333041,596,left
biomedcentral.com,0.944319163489942,597,left
pcmag.com,0.598909713642671,598,left
chicagotribune.com,0.868915852849806,601,left
apa.org,0.944319163489942,607,left
spiegel.de,0.816946216297037,631,left
cbslocal.com,0.7511901076125491,636,left
arstechnica.com,0.946362498302995,644,left
chron.com,0.8639942332542329,655,left
mirror.co.uk,0.69471357319896,656,left
qz.com,0.8566620310131601,662,left
bizjournals.com,0.7244035514565991,663,left
pewresearch.org,0.91790623699568,664,left
howstuffworks.com,0.90196608462966,667,left
thesun.co.uk,0.5681421804955339,671,left
house.gov,0.90283115919677,679,left
patch.com,0.9334910021342592,680,left
politico.com,0.862520735542115,681,left
fool.com,0.843301206986885,682,left
thelancet.com,0.900841895656363,690,left
jstor.org,0.8786244828709551,691,left
pnas.org,0.900841895656363,694,left
smh.com.au,0.766195271452241,697,left
chinadaily.com.cn,0.3715870547389929,701,left
livescience.com,0.475796155079278,709,left
nikkei.com,0.668271133133525,712,left
variety.com,0.830936725464152,716,left
nydailynews.com,0.807592058139583,720,left
nhk.or.jp,0.8670805759056659,721,left
aljazeera.com,0.779267503219657,724,left
jamanetwork.com,0.7000025089219521,726,left
news.com.au,0.801452900871723,727,left
ria.ru,0.3428415799627981,742,left
rollingstone.com,0.561288346769726,743,left
breitbart.com,0.297175368438483,760,right
venturebeat.com,0.6427345460516539,772,left
techradar.com,0.64280305900301,773,left
lifehacker.com,0.8087778825533021,775,left
seekingalpha.com,0.693696627028275,776,right
sky.com,0.7827181979260219,806,left
inquirer.net,0.806033481715774,811,left
nejm.org,0.944319163489942,814,left
thedailybeast.com,0.5381943988207001,818,left
thehill.com,0.8987624084124329,820,left
thetimes.co.uk,0.804965428527866,823,left
ucsd.edu,0.7311049531427181,829,left
scmp.com,0.7679872191353599,844,left
express.co.uk,0.369894689710756,853,right
people.com,0.55408411231176,861,left
digitaltrends.com,0.683117340614217,869,left
frontiersin.org,0.7120900331740581,872,left
eff.org,0.7996498537806059,876,left
unicef.org,0.5520654759806629,893,left
theglobeandmail.com,0.81633964127538,895,left
today.com,0.7342381481794241,897,left
hollywoodreporter.com,0.8173961608973042,904,left
hindustantimes.com,0.7249746329036171,912,left
newscientist.com,0.9355826302507692,916,left
history.com,0.564616923333448,918,left
boston.com,0.7990299968669191,923,left
lemonde.fr,0.6657858857917,939,left
indianexpress.com,0.760006875082811,941,left
nymag.com,0.689029040957724,944,left
technologyreview.com,0.909072073779842,964,left
cctv.com,0.6865276402056479,968,left
gallup.com,0.918225504110308,977,left
metro.co.uk,0.7740572312783399,978,left
t-online.de,0.6964410859141321,990,left
ladbible.com,0.364617475206097,1022,left
phys.org,0.846691999959952,1023,left
euronews.com,0.823068502792473,1024,left
smithsonianmag.com,0.971184072481041,1045,left
salon.com,0.5379336129472589,1053,left
sputniknews.com,0.346103349035805,1065,left
thenextweb.com,0.797512665485726,1078,left
adweek.com,0.897097342531927,1082,left
cbssports.com,0.718640148890342,1093,right
eatthis.com,0.8663520102713901,1099,left
asahi.com,0.775429000335308,1108,left
repubblica.it,0.805259028322397,1129,left
abs-cbn.com,0.6953907510926031,1140,left
consumerreports.org,0.905188871112721,1142,left
thoughtco.com,0.910055955606308,1145,left
bostonglobe.com,0.83531290976054,1150,left
heavy.com,0.8731656905492109,1155,left
brookings.edu,0.8784396997091011,1156,left
observer.com,0.71120135693504,1172,left
congress.gov,0.910055955606308,1185,left
ap.org,0.692626292313905,1191,left
voanews.com,0.9437237679946928,1196,left
vanityfair.com,0.5800640248938621,1198,left
bild.de,0.6483558755950279,1201,left
foxbusiness.com,0.794456492811081,1206,right
medscape.com,0.9340949117368692,1209,left
cancer.org,0.629958582225415,1210,left
energy.gov,0.6850714342877472,1215,left
aarp.org,0.7734082894714929,1216,left
greenpeace.org,0.234150743348435,1218,left
news18.com,0.287943335410797,1227,left
lefigaro.fr,0.6507424131974741,1228,left
insider.com,0.8466315756930171,1229,left
heart.org,0.7148363043075809,1236,left
tmz.com,0.69853717450643,1242,left
thestar.com,0.8433743168037371,1255,left
theepochtimes.com,0.262887244589731,1271,right
thehindu.com,0.7052857208081421,1280,left
eurekalert.org,0.909650346870873,1281,left
france24.com,0.8790153405414041,1284,left
elmundo.es,0.780099015904271,1289,left
howtogeek.com,0.910055955606308,1297,left
billboard.com,0.676096071646937,1303,left
standard.co.uk,0.756353350243437,1304,left
seattletimes.com,0.7990299968669191,1307,left
irishtimes.com,0.775429000335308,1317,left
medlineplus.gov,0.753693886845424,1327,left
theregister.co.uk,0.871165064239559,1329,left
hurriyet.com.tr,0.620577533185092,1336,left
mercurynews.com,0.8767055032119889,1355,left
infobae.com,0.775429000335308,1359,left
bleacherreport.com,0.7342381481794241,1367,right
globalnews.ca,0.859744964664205,1368,left
deadline.com,0.8355746633786221,1375,left
india.com,0.7536410116163671,1378,left
indiatoday.in,0.7765037503774541,1384,left
cancer.gov,0.638230719572855,1397,left
ctvnews.ca,0.926445778463004,1399,left
ew.com,0.8173961608973042,1414,left
snopes.com,0.90354981436689,1416,left
thebalance.com,0.871165064239559,1433,right
welt.de,0.788339150487927,1437,left
msnbc.com,0.5881045958615071,1439,left
techrepublic.com,0.735170372614168,1449,left
washingtontimes.com,0.345472108057381,1460,right
nbcsports.com,0.762377581102117,1464,right
boredpanda.com,0.6514524337814179,1470,left
iop.org,0.909650346870873,1483,left
bankrate.com,0.5933194292051371,1491,right
ibtimes.com,0.713465850105114,1497,left
vogue.com,0.6626844550702061,1499,left
startribune.com,0.8720438168220609,1500,left
miamiherald.com,0.804965428527866,1502,left
jpost.com,0.805387610935627,1506,right
cosmopolitan.com,0.502691745851933,1507,left
stuff.co.nz,0.826520681081304,1511,left
hrw.org,0.841321722825666,1518,left
japantimes.co.jp,0.871165064239559,1541,left
heise.de,0.629958582225415,1546,left
space.com,0.837419794076792,1549,left
esquire.com,0.533872997718106,1561,left
itv.com,0.8125117027724521,1564,left
axios.com,0.897141919676178,1566,left
nj.com,0.885093462419298,1569,left
elle.com,0.6744758997986781,1570,left
eonline.com,0.657261177553656,1572,left
wired.co.uk,0.8141367615860291,1573,left
zeit.de,0.814419430591508,1577,left
denverpost.com,0.870870545676,1587,left
